date,gross_return,n_positions,n_long,n_short,return_coverage,turnover,fixed_cost,spread_cost,total_cost,net_return
2013-09-30,-0.0205666682464455,422,211,211,1.0,1.7630331753554505,0.0017630331753554504,0.0,0.0017630331753554504,-0.02232970142180095
2013-10-31,0.009542231456228201,423,212,211,1.0,1.7257667888759727,0.0017257667888759727,0.0,0.0017257667888759727,0.007816464667352228
2013-11-29,0.006788298516958447,427,214,213,1.0,1.8170111008731515,0.0018170111008731515,0.0,0.0018170111008731515,0.004971287416085296
2013-12-31,-0.011962752912186379,433,217,216,1.0,1.6302483358934974,0.0016302483358934974,0.0,0.0016302483358934974,-0.013593001248079876
2014-01-31,0.009065711160617258,429,215,214,1.0,1.4172000341355182,0.0014172000341355182,0.0,0.0014172000341355182,0.00764851112648174
2014-02-28,0.009418129005906752,437,219,218,1.0,1.509739851702903,0.001509739851702903,0.0,0.001509739851702903,0.00790838915420385
2014-03-31,-0.04348759201655573,433,217,216,1.0,1.8036110762012485,0.0018036110762012485,0.0,0.0018036110762012485,-0.04529120309275698
2014-04-30,0.004886398372162485,433,217,216,1.0,1.8431259600614442,0.0018431259600614443,0.0,0.0018431259600614443,0.0030432724121010404
2014-05-30,-0.04381540251937985,431,216,215,1.0,1.8566094896740057,0.0018566094896740057,0.0,0.0018566094896740057,-0.04567201200905385
2014-06-30,0.013595254702358513,437,219,218,1.0,1.6294248251015877,0.0016294248251015877,0.0,0.0016294248251015877,0.011965829877256924
2014-07-31,0.006827066713603006,433,217,216,1.0,1.849189392987307,0.001849189392987307,0.0,0.001849189392987307,0.004977877320615699
2014-08-29,-0.024531877592057307,437,219,218,1.0,1.5465837208328097,0.0015465837208328097,0.0,0.0015465837208328097,-0.026078461312890117
2014-09-30,-0.00920657419250646,431,216,215,1.0,1.2491516903355535,0.0012491516903355535,0.0,0.0012491516903355535,-0.010455725882842014
2014-10-31,0.01695373304958184,433,217,216,1.0,1.5658175456562553,0.0015658175456562554,0.0,0.0015658175456562554,0.015387915503925586
2014-11-28,-0.005091746821129885,433,217,216,1.0,1.6254906980713433,0.0016254906980713434,0.0,0.0016254906980713434,-0.006717237519201228
2014-12-31,-0.02213391134365933,433,217,216,1.0,1.8102491892814476,0.0018102491892814476,0.0,0.0018102491892814476,-0.023944160532940777
2015-01-30,-0.02827050811499598,423,212,211,1.0,1.7871863799283156,0.0017871863799283157,0.0,0.0017871863799283157,-0.030057694494924295
2015-02-27,-0.0043225948054770695,429,215,214,1.0,1.7337100630297761,0.0017337100630297761,0.0,0.0017337100630297761,-0.006056304868506846
2015-03-31,-0.024308732558139534,431,216,215,1.0,1.6561800172265286,0.0016561800172265287,0.0,0.0016561800172265287,-0.025964912575366064
2015-04-30,0.01088824597302668,435,218,217,1.0,1.8250327653997378,0.0018250327653997378,0.0,0.0018250327653997378,0.009063213207626942
2015-05-29,0.0002783707532151993,437,219,218,1.0,1.825729965229777,0.001825729965229777,0.0,0.001825729965229777,-0.0015473592120145777
2015-06-30,-0.019262552228645636,437,219,218,1.0,1.7202672699090946,0.0017202672699090946,0.0,0.0017202672699090946,-0.020982819498554732
2015-07-31,0.01723062037037037,432,216,216,1.0,1.807423233211847,0.001807423233211847,0.0,0.001807423233211847,0.015423197137158522
