date,n_assets,sdf_payoff,mean_realized_return,mean_target_return,mean_expected_return,rms_pricing_error,rms_forecast_error,rms_reconstruction_error,mean_factor_effective_n,mean_abs_factor_weight,fold
2013-05-01,2042,0.9998546838760376,-0.0020696092396974564,-1.0508164338673964e-09,-0.00034106054226867855,0.08124098926782608,0.08169207721948624,0.08085351437330246,2034.654541015625,0.0004897159524261951,8
2013-06-01,2045,0.9993181228637695,0.06907444447278976,2.6814803710806245e-09,-0.0002407966530881822,0.09324423223733902,0.09352906793355942,0.09311889111995697,2040.1146240234375,0.0004889975534752011,8
2013-07-01,2103,0.9999692440032959,-0.02643217332661152,6.235388316788715e-10,-0.00026766714290715754,0.08673296868801117,0.08678184449672699,0.08674019575119019,2094.119140625,0.0004755111876875162,8
2013-08-01,2093,0.9995281100273132,0.058881036937236786,-1.594773091362356e-09,0.0004019712214358151,0.08657174557447433,0.08676623553037643,0.08656755834817886,2079.28955078125,0.0004777830617967993,8
2013-09-01,2110,1.0005121231079102,0.028630467131733894,6.779675154611198e-10,7.698733679717407e-05,0.10132819414138794,0.10077141970396042,0.1000635027885437,2094.57470703125,0.0004739336436614394,8
2013-10-01,2113,0.9997258186340332,0.038977764546871185,-2.708019808395079e-09,-0.00010946849943138659,0.09225967526435852,0.09258680790662766,0.09220527857542038,2106.521484375,0.00047326076310127974,8
2013-11-01,2139,0.9999806880950928,0.02668144553899765,-2.229252754615274e-10,-0.0002731630811467767,0.07997848838567734,0.08016972243785858,0.08011546730995178,2131.21435546875,0.0004675081872846931,8
2013-12-01,2161,0.9996289014816284,-0.029738768935203552,2.9236892906681078e-09,-4.1561426769476384e-05,0.10036011040210724,0.10105911642313004,0.10034506022930145,2152.180908203125,0.00046274872147478163,8
2014-01-01,2145,1.0002256631851196,0.049446236342191696,-3.8902797649953413e-10,0.0010371367679908872,0.09797309339046478,0.09858690947294235,0.09635167568922043,2128.723876953125,0.0004662004648707807,9
2014-02-01,2183,0.999434769153595,-0.0019072031136602163,-9.283361857015393e-10,-0.001106443116441369,0.08568805456161499,0.0850500762462616,0.08493863046169281,2160.289306640625,0.000458085210993886,9
2014-03-01,2168,0.9992145895957947,-0.03177629038691521,-3.519093461079592e-09,-0.0010906602256000042,0.09031026065349579,0.0899529680609703,0.08876872062683105,2138.267333984375,0.00046125458902679384,9
2014-04-01,2162,0.9997773766517639,0.009639309719204903,3.308305851490445e-10,-0.0007260464481078088,0.09118430316448212,0.09146817773580551,0.09119383245706558,2138.95263671875,0.0004625346919056028,9
2014-05-01,2152,1.0000991821289062,0.05132026970386505,2.4927593322843222e-09,-0.001224144478328526,0.10142003744840622,0.10271155834197998,0.09829290956258774,2134.091796875,0.0004646840097848326,9
2014-06-01,2185,0.9998221397399902,-0.05188153311610222,8.729284517450253e-10,-0.0013967318227514625,0.09686125069856644,0.09647957235574722,0.09579156339168549,2160.73388671875,0.00045766591210849583,9
2014-07-01,2162,1.0001497268676758,0.048915889114141464,2.205537280586256e-10,0.0005125387106090784,0.0896211713552475,0.09027635306119919,0.08817929029464722,2141.92041015625,0.0004625346336979419,9
2014-08-01,2189,0.9996114373207092,-0.047805704176425934,-6.534999763552207e-10,-0.0014869075966998935,0.0905909389257431,0.09053689986467361,0.08993645012378693,2162.29150390625,0.0004568296135403216,9
2014-09-01,2154,0.9999213218688965,0.04862349107861519,-1.7709829158718549e-09,0.0007022327044978738,0.12300888448953629,0.12308090925216675,0.12312760949134827,2133.084716796875,0.0004642525454983115,9
2014-10-01,2168,0.9990407228469849,0.00582052581012249,-4.39886682634949e-10,1.7020809536916204e-05,0.09555424749851227,0.09562215954065323,0.0956401526927948,2144.6298828125,0.0004612546181306243,9
2014-11-01,2161,0.9997774958610535,0.019550912082195282,1.7652462824813142e-09,-0.0007603385602124035,0.09238840639591217,0.09252868592739105,0.09249138087034225,2141.283935546875,0.0004627486923709512,9
2014-12-01,2167,0.99944669008255,-0.040696971118450165,1.2102465696273157e-09,0.0007455965969711542,0.10369856655597687,0.10416928678750992,0.10344389081001282,2143.90771484375,0.0004614674544427544,9
2015-01-01,2118,1.0008214712142944,0.0703122541308403,3.827304695391831e-09,0.0015498327556997538,0.09961669147014618,0.10001002252101898,0.0964331328868866,2106.81103515625,0.00047214352525770664,10
2015-02-01,2148,0.9995996952056885,0.0069059995003044605,-1.415194073040027e-09,0.001492269802838564,0.0891980528831482,0.08941727876663208,0.08850781619548798,2136.61767578125,0.00046554935397580266,10
2015-03-01,2158,1.0004595518112183,-0.008512572385370731,-2.209625399318682e-10,0.0012600953923538327,0.09679332375526428,0.09717961400747299,0.09507639706134796,2145.9140625,0.0004633920325431973,10
2015-04-01,2179,1.0004408359527588,0.01822582259774208,1.6412476933069797e-09,0.0009144346113316715,0.104697085916996,0.10502186417579651,0.10366881638765335,2166.844970703125,0.0004589261079672724,10
2015-05-01,2183,1.0002424716949463,0.00043428156641311944,1.5290243515764246e-09,0.0012481221929192543,0.08969990909099579,0.08981802314519882,0.08943028002977371,2164.429443359375,0.000458085210993886,10
