fold,decile,mean_return,fitted_mean_return,pricing_error
10,8,0.020412485792827607,-0.02121826845544188,0.04163075424826949
10,9,0.012920878408986846,-0.01906586899033576,0.031986747399322606
10,10,0.017714344473427714,-0.020656253383537732,0.03837059785696545
11,1,-0.05308512519047028,0.027549206454937733,-0.08063433164540801
11,2,-0.011262723437292213,3.336290630573106e-05,-0.011296086343597944
11,3,0.00281742009153162,-0.008895003197142457,0.011712423288674077
11,4,0.010345848206453487,-0.011510947938725178,0.021856796145178665
11,5,0.009935438618865604,-0.013030484526846426,0.022965923145712032
11,6,0.012769286104197064,-0.014527131952968422,0.027296418057165484
11,7,0.007634079254794472,-0.01317705339512612,0.020811132649920593
11,8,0.007985356525824305,-0.013397292708564606,0.02138264923438891
11,9,0.010420798867706624,-0.012181188717501009,0.022601987585207633
11,10,0.015409944989304411,-0.020742131246775052,0.03615207623607947
12,1,-0.008481050182042022,0.0158844819659792,-0.024365532148021223
12,2,-0.01021154113496952,0.012235516006978557,-0.022447057141948078
12,3,-0.0034646706961774265,0.005688400711869802,-0.009153071408047228
12,4,0.0005952342641775236,0.002426386485813923,-0.0018311522216363993
12,5,-0.00042799251695915114,0.0008954535657952575,-0.0013234460827544086
12,6,0.007216030176963896,0.0006445265498288813,0.006571503627135014
12,7,0.00465691030792043,-0.00011473422503166369,0.004771644532952093
12,8,0.0015178022653656413,0.00019013612003418288,0.0013276661453314584
12,9,3.908124112945883e-05,0.00016987828681202662,-0.0001307970456825678
12,10,0.0013627798520009053,-0.000327717979593176,0.0016904978315940814
13,1,0.0018246385687209117,-0.0006912701839423611,0.0025159087526632727
13,2,0.0006022086777528578,-0.0004023517700891317,0.0010045604478419894
13,3,0.0031254468773899927,-0.00024187645236528084,0.0033673233297552736
13,4,0.005650915303824406,-0.0006721064283879985,0.006323021732212404
13,5,0.004460022011485518,-0.0003464627522282066,0.004806484763713725
13,6,0.006470423106578788,-0.0002577236148677303,0.006728146721446518
13,7,0.004026204956073477,-0.00039281236303999366,0.004419017319113471
13,8,0.009063137518511748,-0.00023160235346904846,0.009294739871980796
13,9,0.006960021316657767,-0.00025003662452959284,0.00721005794118736
13,10,0.005097417930810879,-0.00015951436386746153,0.0052569322946783405
14,1,0.009971587596965386,-0.0009074648896178887,0.010879052486583274
