latent_factor,state_variable,correlation,nobs
sdf_factor_01,mswp10,-0.005271552781426614,129
sdf_factor_01,sdf_lambda_05,-0.0050563123358030775,227
sdf_factor_08,fred_indpro_yoy,0.004256730909023687,227
sdf_factor_07,bls_cpi_u_yoy,0.004002018614214506,227
sdf_factor_04,sdf_lambda_05,-0.003917821755292417,227
sdf_factor_01,fred_nfci,-0.003603379183775181,227
sdf_factor_08,fred_10y2y_spread,0.002923938036855757,222
sdf_factor_03,sdf_lambda_01,0.0029089361294668465,227
sdf_factor_02,fred_t10y3m,0.0026889595779024597,222
sdf_factor_05,term_spread_10y_1y,-0.0026801140217537186,129
sdf_factor_04,fred_t10y3m,-0.0025974242102636677,222
sdf_factor_05,fred_10y2y_spread,-0.0018988374713312106,222
sdf_factor_01,rmw,0.0015420180226329136,227
sdf_factor_03,bls_cpi_u_yoy,0.00152162687547575,227
sdf_factor_04,bls_cpi_u,-0.0013827202745055893,227
sdf_factor_03,fred_cpi_yoy,-0.0013608154151400393,227
sdf_factor_05,sdf_lambda_06,0.0012948497298948382,227
sdf_factor_08,mswp10,-0.0012096951637588548,129
sdf_factor_02,baa_aaa_spread,-0.0010877011752633992,227
sdf_factor_04,fred_cpi,-0.0006811039905733241,227
sdf_factor_06,umd,0.0006512943207416746,227
sdf_factor_02,sdf_lambda_05,-0.0006367043345402523,227
sdf_factor_08,bls_cpi_u,-0.0005400150215601553,227
sdf_factor_08,fedfunds,0.00044357389966819194,227
sdf_factor_08,fred_cpi,-0.00012564710087429608,227
sdf_factor_05,sdf_lambda_03,9.580595447847526e-05,227
sdf_factor_05,sdf_lambda_01,1.3121417792370395e-05,227
